"condition","plant_id","genotype","time","size_mm2","QY_max","NPQ_L1","NPQ_L2","NPQ_L3","NPQ_L4"
"c","c01","wt","185.366666666667",1849.78,0.833562428775314,NA,NA,NA,NA
"c","c02","psbo1cr","185.9",102.89,0.59824,NA,NA,NA,NA
"c","c03","psbo2cr","186.433333333333",NA,NA,NA,NA,NA,NA
"c","c04","wt","187",2449.78,0.82864,NA,NA,NA,NA
"c","c05","psbo1cr","187.466666666667",91.22,0.60818,NA,NA,NA,NA
"c","c06","psbo2cr","187.966666666667",532,0.799466613345865,NA,NA,NA,NA
"c","c07","wt","188.466666666667",2726.67,0.824738193840839,NA,NA,NA,NA
"c","c08","psbo1cr","188.966666666667",119.56,0.59384,NA,NA,NA,NA
"c","c09","psbo2cr","189.6",984.44,0.80862968022429,NA,NA,NA,NA
"c","c10","wt","190.2",2935,0.83485,NA,NA,NA,NA
"c","c11","psbo1cr","190.8",84.33,0.58366,NA,NA,NA,NA
"c","c12","psbo2cr","191.4",1052.56,0.80078,NA,NA,NA,NA
"c","c13","wt","35.5666666666667",2803.11,0.830212693900703,"0.0392539097288369","0.17552054828387","0.45028991994606","0.661254895027309"
"c","c14","psbo1cr","37.6666666666667",64.33,0.59725,"0.06646","0.53289","0.88787","1.04865"
"c","c15","psbo2cr","40.2666666666667",1137.89,0.80819,"0.04091","0.22056","0.51396","0.72374"
"c","c16","wt","42.8333333333333",3125.34,0.829043220545605,"0.0368752432695323","0.174594680962711","0.443521226426565","0.645923420715826"
"c","c17","psbo1cr","45.6",94.78,0.59719,"0.06238","0.52201","0.87534","1.06617"
"c","c18","psbo2cr","48.3666666666667",1610.22,0.819012561016507,"0.0361531656543826","0.178472360298593","0.452802496801679","0.65018625777844"
"c","c19","wt","50.7333333333333",2842.66,0.832239204371962,"0.0467193123694005","0.20500346133551","0.436090921390529","0.574235231754765"
"c","c20","psbo1cr","53.5666666666667",86.67,0.66022,"0.10416","0.54802","0.8848","0.96107"
"c","c21","psbo2cr","56.6666666666667",1072.89,0.8148,"0.04015","0.19164","0.46149","0.65315"
"c","c22","wt","59.1666666666667",2956.77,0.829718241527072,"0.034656587120405","0.172892339444732","0.450697544347379","0.651763974607426"
"c","c23","psbo1cr","62.6333333333333",76.56,0.59371,"0.07813","0.58031","0.928","1.10097"
